##########  Generation 1  ##########

1)  -0.5  |  IBMLEOFEICBMMHMLKNMKLLONMPPFOOJPFBAACPKL
2)  0.6  |  FJDGKPILBALACHANAFHFHNCEPKJBFLCMPGIJLKIE
3)  40.9  |  PMJOMAKIEKFCEPKIFLIKIMLOIMMJGIDEAMLDBELO
4)  33.8  |  OBEJFNLPOFFCDMMMJIFKLJNPMLFJAJOCKFMCEHLI
5)  23.0  |  MCHDODGOPGEKEBGAFELOPJOJIBMJNFJHFJLINEHJ
6)  53.9  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
7)  38.9  |  DJEGEMMDJJOFCKGPGHCHDEEKLNCDDAMHMMMPECHL
8)  1.3  |  NEHNLLKIKCCBKABIFPGOBDFCLLAJLIKAEFIOOJPC
9)  51.3  |  KKACJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
10)  0.3  |  MJGMJJGFLENLHLAMNFMAGEMPPODAPJCEJHGGPEEK
11)  15.9  |  AIGDOEMDPOAAMLPOMNMEAPJCNHADLGFFNNKCFKAL
12)  19.0  |  KEKECCIDMCHCOOHOKOCKNKDNNLOHKEKAIEHCAFCB
13)  0.2  |  BLKNLHPNIPPCGKHABOOBEHJDKKILIELMEIPDOGEH
14)  0.7  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
15)  19.2  |  KJGLJKEAOKPNNEOGFHEPBHMIONGOMNPDFODJNEEC
16)  41.5  |  MIFOENGFMDCGJIEDCDKHFOAEPJLKCBANDMMKCDPP
17)  5.4  |  PIKAJEALOCIDOBGHPJJEAKEIAEEPKIHIKFIIEOKH
18)  72.0  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
19)  49.5  |  IDOMGOJIFHNJCMILLCMNKBANFEPJGOBJMBOCNKMM
20)  0.3  |  OFADMMCAPEMAMIAMHEFOPHMDHJMGPMPDGHPGJCEC
21)  -0.2  |  LHGNKHLBEBBBEIINMPKECBLOHGNGDHHINMLHBLAN
22)  55.5  |  JDKDAFCEHBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
23)  3.9  |  FLENGPMKBEBGCMHODPKPMHAJOJMLGLFLJFCPNCHH
24)  23.2  |  MJAOLNOIPIFKBCKLKPBIEKAJAKMPICPJBFPJGMAL
25)  31.4  |  FPHGFFFPLMMHACAPGMAKKKOOEIHEAGLGHPDGLKEF
26)  5.0  |  FOGKGCLEAGKJGDDBPBOAPHDECKBEENHAEFAACPCG
27)  0.8  |  KEECILEKPLPBPAGJLMKALPCALIMHIKKPEMIOFPBO
28)  6.3  |  JDAGFMKAPAHJDCBFMCCJIGPCKKOCKDNNMBGOAGDP
29)  27.6  |  ANJEDFHDAFGADGAMNHGOOLJOIHAEIECONMCGFDMA
30)  0.3  |  KDCOOLEKJPJDNKAFDHFNPCGOAHJOELHADFGICILP
Generation 1 Average Fitness: 20.7

##########  Generation 2  ##########

1)  -0.5  |  IBMLEOFEICBMMHMLKNMKLLONMPPFOOJPFBAACPKL
2)  48.3  |  FJDGMAKIEALACHANAFHFHNCEPKJBFLCMPGIJLKIE
3)  56.7  |  KKACMAKILJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
4)  51.9  |  PBEJFAKIEKFCEPKIFLIKIMLOIMMJGIDEAMLDBELO
5)  23.0  |  MCHDODGOPGEKEBGAFELOPJOJIBMJNFJHFJLINEHJ
6)  55.3  |  CLOMDDGOPGEKEMCGBMMKKPNLOPPMJJCDEHPIAADL
7)  41.6  |  KEKECCIDMCHCOKGPGHCHDEEKNLOHKEKAIEHCAFCB
8)  50.5  |  KKACJABFLJLABMBMGHCOBDFCGFBACOCNFOKKDOJG
9)  52.8  |  KKACJABFLJLABMKIFLIKIMLOIMMJGIDEAOKKDOJG
10)  70.1  |  MJGMJABFLJNLHLAMNFMAGEMPPODAPJCEJHGGPEEK
11)  15.9  |  AIGDOEMDPOAAMLPOMNMEAPJCNHADLGFFNNKCFKAL
12)  46.2  |  ANOLFGJKDPCHOOHOKOCKNKDNNLOILHMGLHNKMHGF
13)  0.2  |  BLKNLHPNIPPCGKHABOOBEHJDKKILIELMEIPDOGEH
14)  0.7  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
15)  19.2  |  KJGLJKEAOKPNNEOGFHEPBHMIONGOMNPDFODJNEEC
16)  86.7  |  JDKDAFCEHBELJIEDCDKHFOAEPJLOAGLJHJGAFLHD
17)  5.4  |  PIKAJEALOCIDOBGHPJJEAKEIAEEPKIHIKFIIEOKH
18)  72.0  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
19)  49.5  |  IDOMGOJIFHNJCMILLCMNKBANFEPJGOBJMBOCNKMM
20)  26.9  |  OFADGOCAPEMAMIAMHEFOPHMDHJMGPMPDGHPGJCEC
21)  45.8  |  JDKDAFCEHBELCAGBNMKENJMBCBCOAGLJHJGAFLHD
22)  55.5  |  JDKDAFCEHBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
23)  65.4  |  JDKDAFMKBEBGCMHODPKPMHAJOBCOAGLJHJGAFLHD
24)  60.9  |  MJAOLNOIPIFKBCKLKPBEAGHOIKPILHMGLHNKMHAL
25)  31.4  |  FPHGFFFPLMMHACAPGMAKKKOOEIHEAGLGHPDGLKEF
26)  5.0  |  FOGKGCLEAGKJGDDBPBOAPHDECKBEENHAEFAACPCG
27)  0.8  |  KEECILEKPLPBPAGJLMKALPCALIMHIKKPEMIOFPBO
28)  6.3  |  JDAGFMKAPAHJDCBFMCCJIGPCKKOCKDNNMBGOAGDP
29)  27.6  |  ANJEDFHDAFGADGAMNHGOOLJOIHAEIECONMCGFDMA
30)  39.2  |  KDCOOLMMPPJDNKAFDHFNPCGOAHJOELHADFGICILP
Generation 2 Average Fitness: 37.010006

##########  Generation 3  ##########

1)  -0.5  |  IBMLEOFEICBMMHMLKNMKLLONMPPFOOJPFBAACPKL
2)  62.9  |  FJDGMAKIEALACHANAFHEDCCLGFBACOCNFOKKLKIE
