##########  Generation 1  ##########

1)  -1.1  |  IBMLEOFEICBMMHMLKNMKLLONMPPFOOJPFBAACPKL
2)  0.5  |  FJDGKPILBALACHANAFHFHNCEPKJBFLCMPGIJLKIE
3)  4.7  |  PMJOMAKIEKFCEPKIFLIKIMLOIMMJGIDEAMLDBELO
4)  3.8  |  OBEJFNLPOFFCDMMMJIFKLJNPMLFJAJOCKFMCEHLI
5)  5.7  |  MCHDODGOPGEKEBGAFELOPJOJIBMJNFJHFJLINEHJ
6)  6.1  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
7)  4.1  |  DJEGEMMDJJOFCKGPGHCHDEEKLNCDDAMHMMMPECHL
8)  3.4  |  NEHNLLKIKCCBKABIFPGOBDFCLLAJLIKAEFIOOJPC
9)  5.5  |  KKACJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
10)  0.3  |  MJGMJJGFLENLHLAMNFMAGEMPPODAPJCEJHGGPEEK
11)  0.4  |  AIGDOEMDPOAAMLPOMNMEAPJCNHADLGFFNNKCFKAL
12)  2.7  |  KEKECCIDMCHCOOHOKOCKNKDNNLOHKEKAIEHCAFCB
13)  0.6  |  BLKNLHPNIPPCGKHABOOBEHJDKKILIELMEIPDOGEH
14)  0.1  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
15)  0.5  |  KJGLJKEAOKPNNEOGFHEPBHMIONGOMNPDFODJNEEC
16)  3.9  |  MIFOENGFMDCGJIEDCDKHFOAEPJLKCBANDMMKCDPP
17)  0.6  |  PIKAJEALOCIDOBGHPJJEAKEIAEEPKIHIKFIIEOKH
18)  6.8  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
19)  3.9  |  IDOMGOJIFHNJCMILLCMNKBANFEPJGOBJMBOCNKMM
20)  0.3  |  OFADMMCAPEMAMIAMHEFOPHMDHJMGPMPDGHPGJCEC
21)  0.6  |  LHGNKHLBEBBBEIINMPKECBLOHGNGDHHINMLHBLAN
22)  6.6  |  JDKDAFCEHBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
23)  1.9  |  FLENGPMKBEBGCMHODPKPMHAJOJMLGLFLJFCPNCHH
24)  2.3  |  MJAOLNOIPIFKBCKLKPBIEKAJAKMPICPJBFPJGMAL
25)  2.5  |  FPHGFFFPLMMHACAPGMAKKKOOEIHEAGLGHPDGLKEF
26)  0.7  |  FOGKGCLEAGKJGDDBPBOAPHDECKBEENHAEFAACPCG
27)  4.5  |  KEECILEKPLPBPAGJLMKALPCALIMHIKKPEMIOFPBO
28)  0.9  |  JDAGFMKAPAHJDCBFMCCJIGPCKKOCKDNNMBGOAGDP
29)  2.9  |  ANJEDFHDAFGADGAMNHGOOLJOIHAEIECONMCGFDMA
