##########  Generation 1  ##########

1)  -0.8  |  IBMLEOFEICBMMHMLKNMKLLONMPPFOOJPFBAACPKL
7)  16.8  |  ANOLFGJMPGMDIMCGBMGEAGHOIKPILHMGLHNKMHGF
8)  11.0  |  ANOLFGJKDMNJCMILLMCEAGHOIKPILHMGLHNKMHGF
9)  8.5  |  JDKDAFCEHBELCAGBNMKHNJMBCBCOAGLJHJGAFLHD
10)  8.2  |  KEKECCIDMCHCOKGPGHCHDEEKNLOHKEKAIEHCAFCB
11)  14.2  |  ANOLFGJKDPPBPAGJLMKALPCALIMHIHMGLHNKMHGF
12)  17.1  |  ANOLFGJKDPCHEMCGBOGEAGHOIKPILHMGLHNKMHGF
13)  15.0  |  ANOLFGJKDPCHEMCGGHCEAGHOIKPILHMGLHNKMHGF
14)  10.7  |  ANOLFGJKDPCHEHAMNHGEAGHOIKPILHMGLHNKMHGF
15)  7.8  |  OFADMMCAPEMAMIAMJIFKLJNPMEPJGOBJMBPGJCEC
16)  17.1  |  ANOLFGJKDPCHEHPPGOMEAGHOIKPILHMGLHNKMHGF
17)  10.8  |  FJDGKPILPPJHEHPPGOMEAGHOIKPILLCMPGIJLKIE
18)  14.0  |  JDKCJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
19)  14.8  |  ANOLFGJKDPCHEHPPBOGEAGHOIKPILHMGLHNKMHGF
20)  13.6  |  MJAOGCLEAFFCDMMMJIFKLJNPMEPJGOBJMBOCGMAL
21)  8.6  |  MJAOLNOIPIFKBCKLKPGEEKAJAKMPICPJBFPJGMAL
22)  11.4  |  KKACJABFLJLABMBMGHGOBDFCLFBACOCNFOKKDOJG
23)  17.9  |  ANOLFGJKDPCHEHCGBOGEAGHOIKPILHMGLHNKMHGF
24)  15.4  |  MJAOGCLEAGKJGDDBPBONKBANFEPJGOBJMBOCGMAL
25)  10.4  |  JDKDAFCEHBEDNKGOPJJEAKEIAEEPKILJHJGAFLHD
26)  16.6  |  CLOMDEMMPGMDIMBMGHGOBDFCLFBACOCNFOKKDOJG
27)  15.0  |  CLOMDEMMLJLABMBMGHGOBDFCLFBMJJCDEHPIAADL
28)  13.0  |  ANOLFGJKDPCHEHCGBOBNKBAOIKPILHMGLHNKMHGF
29)  16.3  |  JDKDAFCEHGKJGDDBPBONKBANFEPOAGLJHJGAFLHD
30)  11.4  |  KDCMDEMMPPJDNKAFDHFNPCGOAHJOELHADFGICILP
Generation 5 Average Fitness: 12.6866665

##########  Generation 6  ##########

1)  15.6  |  ANOLFABFLJLABMBMGMMKKPNOIKPILHMGLHNKMHGF
2)  19.4  |  ANOLFGJKDPCHEMCGBOGEAGHOIKPILHMGLHNKMHGF
3)  15.0  |  ANOLFGJKDPCHEMCGGHCEAGHOIKPILHMGLHNKMHGF
4)  15.5  |  MNOLFGJKDPCHEHPPPBONKBANFEPJGOBJMBOCGMAL
5)  10.4  |  JDKDAFCEHBEDNKGOPJJEAKEIAEEPKILJHJGAFLHD
6)  18.6  |  CLOMDEMMPGLABMBMGHGOBDFCLFBACOCNFOKKDOJG
7)  17.0  |  ANOLFGJKDMMDIMCGBMGEAGHOIKPILHMGLHNKMHGF
8)  14.3  |  ANOLFGJKDPCHEMCGGHCEAGHOIKPILHMGLHNKMHGF
9)  16.6  |  CLOMDEMEAFFCDMBMGHGOBDFCLFBACOCNFOKKDOJG
10)  16.9  |  CLOMDEMMPGMDIMBMGHGOBDFCLFBACOCNFOKKDOJG
11)  7.3  |  ANOLFGJKDPCHEHPPKOCKNKDNNLOHKEKAIEHCAFCB
12)  12.7  |  JDOLFGJEHBELCAGBNMKHNJMBCBCOAGLJHJGAFLHD
13)  7.8  |  OFADMMCAPEMAMIAMJIFKLJNPMEPJGOBJMBPGJCEC
14)  14.6  |  CLOMDEMMLJLABMBMKPGEEKAJAKMPICPJBFPJGMAL
15)  15.0  |  CLOMDEMMLJLABMBMGHGOBDFCLFBMJJCDEHPIAADL
16)  13.1  |  MJAOLNOIPIFKBCKIFLIKIMLLGFBACOBJMBOCGMAL
17)  16.1  |  ANOLFGJKDPCHEHGPGHCHDEEKNLOHKEKALHNKMHGF
18)  17.1  |  ANOLFGJKDPCHEHPPGOMEAGHOIKPILHMGLHNKMHGF
19)  11.4  |  KKACJABFLJLABMBMGHGOBDFCLFBACOCNFOKKDOJG
20)  13.0  |  ANOLFGJKDPCHEHCGBOBNKBAOIKPILHMGLHNKMHGF
21)  9.3  |  JDKDAFCEHBELCAGODPKPMHMBCBCOAGLJHJGAFLHD
22)  15.2  |  ANOLFGJKDPPBPAGJBOGEAGHOIKPILHMGLHNKMHGF
23)  10.8  |  FJDGKPILPPJHEHPPGOMEAGHOIKPILLCMPGIJLKIE
24)  17.9  |  ANOLFGJKDPCHEHCGBOGEAGHOIKPILHMGLHNKMHGF
25)  16.3  |  JDKDAFCEHGKJGDDBPBONKBANFEPOAGLJHJGAFLHD
26)  17.8  |  ANOLFGJKDPCABMBGBOGEAGHOIKPILHMGLHNKMHGF
27)  17.4  |  ANOLFGJKDPCHEMCGBOGEAGHOIKPILHMGLHNKMHGF
28)  15.5  |  ANOLFGJFLJLABMBMGHCEAGHOIKPILHMGLHNKMHGF
29)  17.1  |  ANOLFGJKDPKJGDCGBOGEAGHOIKPILHMGLHNKMHGF
30)  11.4  |  KDCMDEMMPPJDNKAFDHFNPCGOAHJOELHADFGICILP
Generation 6 Average Fitness: 14.536666

##########  Generation 7  ##########

1)  15.6  |  ANOLFABFLJLABMBMGMMKKPNOIKPILHMGLHNKMHGF
2)  17.4  |  ANOLFGJKDMMDIMCGBMGEKPNOIKPILHMGLHNKMHGF
3)  15.8  |  ANOLFGJKPEMAMIAMJIFKLJNOIKPILHMGLHNKMHGF
4)  19.4  |  ANOLFGJKLJLAEHCGBOGEAGHOIKPILHMGLHNKMHGF
5)  16.3  |  JDKDAFCEHGKJGDDBPBONKBANFEPOAGLJHJGAFLHD
6)  19.4  |  ANOLFGJKDPCHEMCGBOGEAGHOIKPILHMGLHNKMHGF
7)  14.3  |  ANOLFGJKDPCHEMCGGHCEAGHOIKPILHMGLHNKMHGF
8)  14.6  |  CLOMDEMMLJLABMBMKPGEEKAJAKMPICPJBFPJGMAL
9)  15.9  |  ANOLFGJKDPCHEHCGBOGEAGHOIKPILHMGLHNKMHGF
10)  17.8  |  ANOLFGJKDPCABMBGBOGEAGHOIKPILHMGLHNKMHGF
11)  15.0  |  ANOLFGJKDPCHEMCGGHCEAGHOIKPILHMGLHNKMHGF
12)  16.6  |  CLOMDEMEAFFCDMBMGHGOBDFCLFBACOCNFOKKDOJG
13)  18.8  |  CLOMDEMMLJLABMBMGHGOBDFCLFBACOCDEHPIAADL
14)  9.3  |  JDKDAFCEHBELCAGODPKPMHMBCBCOAGLJHJGAFLHD
15)  17.4  |  ANOLFGJKDPCHEMCGBOGEAGHOIKPILHMGLHNKMHGF
16)  15.9  |  MNOLFGJKDPCDIMPPPBONKBANFEPJGOBJMBOCGMAL
17)  16.9  |  CLOMDEMMPGMDIMBMGHGOBDFCLFBACOCNFOKKDOJG
18)  17.1  |  CLOMDEMMPGFKBCKMGHGOBDFCLFBACOCNFOKKDOJG
19)  17.4  |  ANOLFGJFLJLABMBMGHCEAGHOIKPILHMGLHNKMHGF
20)  15.5  |  ANOLFGJFLJLABMBMGHCEAGHOIKPILHMGLHNKMHGF
21)  10.4  |  JDKDAFCEHBEDNKGOPJJEAKEIAEEPKILJHJGAFLHD
22)  14.5  |  CLOMDEMMPGMHEHPPKOCKNKFCLFBACOCNFOKKDOJG
23)  16.1  |  ANOLFGJKDPCHEHGPGHCHDEEKNLOHKEKALHNKMHGF
24)  17.3  |  ANOLFGJKDPCHEHCGBOGEAGHOIKPILLCGLHNKMHGF
25)  17.1  |  ANOLFGJKDPKJGDCGBOGEAGHOIKPILHMGLHNKMHGF
26)  18.6  |  CLOMDEMMPGLABMBMGHGOBDFCLFBACOCNFOKKDOJG
27)  12.7  |  JDOLFGJEHBELCAGBNMKHNJMBCBCOAGLJHJGAFLHD
28)  17.1  |  ANOLFGJKDPCHEHPPGOMEAGHOIKPILHMGLHNKMHGF
29)  17.9  |  ANOLFGJKDPCHEHCGBOGEAGHOIKPILHMGLHNKMHGF
30)  11.4  |  KDCMDEMMPPJDNKAFDHFNPCGOAHJOELHADFGICILP
Generation 7 Average Fitness: 15.983334

##########  Generation 8  ##########

1)  15.6  |  ANOLFABFLJLABMBMGMMKKPNOIKPILHMGLHNKMHGF
2)  20.1  |  ANOLFGJKLJLABMBMGHGOAGHOIKPILHMGLHNKMHGF
3)  18.8  |  CLOMDEMMLJLABMBMGHGOBDFCLFBACOCDEHPIAADL
4)  19.2  |  CLOMDEMMLJLABMBMGHCEAGHOLFBACOCDEHPIAADL
5)  17.1  |  ANOLFGJKDPKJGDCGBOGEAGHOIKPILHMGLHNKMHGF
6)  18.6  |  CLOMDEMMPGLABMBMBMGEKPNOIKPILHMNFOKKDOJG
7)  14.6  |  CLOMDEMMLJLABMBMKPGEEKAJAKMPICPJBFPJGMAL
8)  15.6  |  CLOMDEMMLJLABAGODHGOBDFCLFBACOCDEHPIAADL
9)  17.9  |  ANOLFGJFLJLABMBMGHGOBDFCLKPILHMGLHNKMHGF
10)  18.6  |  CLOMDEMMPGLABMBMGHGOBDFCLFBACOCNFOKKDOJG
11)  17.9  |  ANOLFGJKPJLAEHCGBOGEAGHOIKPILHMGLHNKMHGF
12)  19.4  |  ANOLFGJKDPCABMBGBOGEAGHOIKPILHMGLHNKMHGF
13)  17.4  |  ANOLFGJKDPCHEMCGBOGEAGHOIKPILHMGLHNKMHGF
14)  16.8  |  ANOLFGJKDPCHEMCGBOGEAGHOIKPILHMGLHNKMHGF
15)  16.5  |  JDOMDEMMPGLABMBMGHGONJMBCBCOAGLJHJGAFLHD
16)  19.4  |  ANOLFGJKLJLAEHCGBOGEAGHOIKPILHMGLHNKMHGF
17)  17.8  |  ANOLFGJKDPCABMBGBOGEAGHOIKPILHMGLHNKMHGF
18)  19.0  |  MNOLFGJKDPCDBMBGBOGEKBANFEPJGOBJMBOCGMAL
19)  14.5  |  CLOMDEMMPGMHEHPPKOCKNKFCLFBACOCNFOKKDOJG
20)  17.1  |  ANOLFGJKDPCHEHPPGOMEAGHOIKPILHMGLHNKMHGF
21)  16.3  |  JDKDAFCEHGKJGDDBPBONKBANFEPOAGLJHJGAFLHD
22)  16.0  |  ANOLFGJKDPCABMBGBOGEAGHOIKPILHMGLHNKMHGF
23)  17.8  |  CLOMDEMMPGFKBMKMGHGOBDFCLFBACOCNFOKKDOJG
24)  19.2  |  ANOLFGJKDPCHEHCGBOGEAGHOIKPILHMGLHNKMHGF
25)  17.9  |  ANOLFGJKDPCHEHCGBOGEAGHOIKPILHMGLHNKMHGF
26)  19.4  |  ANOLFGJKDPCHEMCGBOGEAGHOIKPILHMGLHNKMHGF
27)  16.6  |  CLOMDEMEAFFCDMBMGHGOBDFCLFBACOCNFOKKDOJG
28)  17.1  |  CLOMDEMMPGFKBCKMGHGOBDFCLFBACOCNFOKKDOJG
29)  19.1  |  ANOLFGJKLJLAEHCGBOGEAGHOIKPILLCGLHNKMHGF
30)  14.8  |  KDCMDEMMPPCHEMCGBOFNPCGOAHJOELHADFGICILP
Generation 8 Average Fitness: 17.536665

##########  Generation 9  ##########

1)  19.0  |  ANOLFGJKLJLABMBMGHGOAGHOIKPILHMGLHNKMHGF
2)  19.0  |  CLOMDEMMLJLABMBMKPGEAGHOIKPILHMJBFPJGMAL
3)  19.2  |  MNOLFGJKDPCDBMBGBOGEKBANFEPJGOBJMBOCGMAL
4)  16.2  |  CLOMDEMKDPCHEHCGKOCKNKFCLFBACOCNFOKKDOJG
5)  17.9  |  ANOLFGJKDPCHEHCGBOGEAGHOIKPILHMGLHNKMHGF
6)  20.1  |  ANOLFGJKLJLABMBMGHGOAGHOIKPILHMGLHNKMHGF
7)  15.6  |  CLOMDEMMLJLABAGODHGOBDFCLFBACOCDEHPIAADL
8)  16.8  |  ANOLFGJKDPCHEMCGBOGEAGHOIKPILHMGLHNKMHGF
9)  17.1  |  ANOLFGJKDPCHEHPPGOMEAGHOIKPILHMGLHNKMHGF
10)  19.4  |  ANOLFGJKDPCHEMCGBOGEAGHOIKPILHMGLHNKMHGF
11)  18.8  |  CLOMDEMMLJLABMBMGHGOBDFCLFBACOCDEHPIAADL
12)  17.9  |  ANOLFGJFLJLABMBMGHGOBDFCLKPILHMGLHNKMHGF
13)  16.5  |  JDOMDEMMPGLABMBMGHGONJMBCBCOAGLJHJGAFLHD
14)  16.3  |  JDKDAFCEHGKJGDDBPBONKBANFEPOAGLJHJGAFLHD
15)  16.6  |  CLOMDEMEAFFCDMBMGHGOBDFCLFBACOCNFOKKDOJG
16)  19.3  |  CLOMDEMMLJLABMBMGHCEAGHOLFBACOCDEHPIAADL
17)  18.6  |  CLOMDEMMPGLABMBMGHGOBDFCLFBACOCNFOKKDOJG
18)  19.4  |  ANOLFGJKLJLAEHCGBOGEAGHOIKPILHMGLHNKMHGF
19)  16.0  |  ANOLFGJKDPCABMBGBOGEAGHOIKPILHMGLHNKMHGF
20)  19.9  |  CLOMDEMMPGFKBCKMGHCEAGHOLFBACOCNFOKKDOJG
21)  17.1  |  ANOLFGJKDPKJGDCGBOGEAGHOIKPILHMGLHNKMHGF
22)  19.4  |  ANOLFGJKPJLAEHCGBOGEAGHOIKPILHMGLHNKMHGF
23)  20.2  |  ANOLFGJKLJLAEHCGBOGEAGHOIKPILHMGLHNKMHGF
24)  17.8  |  CLOMDEMMPGFKBMKMGHGOBDFCLFBACOCNFOKKDOJG
25)  19.1  |  ANOLFGJKLJLAEHCGBOGEAGHOIKPILLCGLHNKMHGF
26)  18.6  |  CLOMDEMMPGLABMBMBMGEKPNOIKPILHMNFOKKDOJG
27)  19.4  |  ANOLFGJKDPCABMBGBOGEAGHOIKPILHMGLHNKMHGF
28)  19.0  |  MNOLFGJKDPCDBMBGBOGEKBANFEPJGOBJMBOCGMAL
29)  19.2  |  ANOLFGJKDPCHEHCGBOGEAGHOIKPILHMGLHNKMHGF
30)  14.8  |  KDCMDEMMPPCHEMCGBOFNPCGOAHJOELHADFGICILP
Generation 9 Average Fitness: 18.139997

##########  Generation 10  ##########

1)  19.0  |  ANOLFGJKLJLABMBMGHGOAGHOIKPILHMGLHNKMHGF
2)  15.6  |  CLOMDEMMLJLABAGODHGOBDFCLFBACOCDEHPIAADL
3)  16.5  |  JDOMDEMMPGLABMBMGHGONJMBCBCOAGLJHJGAFLHD
4)  16.0  |  ANOLFGJKDPCABMBGBOGEAGHOIKPILHMGLHNKMHGF
5)  19.1  |  ANOLFGJKLJLAEHCGBOGEAGHOIKPILLCGLHNKMHGF
6)  19.0  |  CLOMDEMMLJLABMBMKPGEAGHOIKPILHMJBFPJGMAL
7)  19.4  |  CLOMDEMMLJLABMBMKPGEAGHOIKPILHMJBFPJGMAL
8)  18.2  |  CLOMDEMMPGKJGDKMGHCEAGHOLFBACOCNFOKKDOJG
9)  19.9  |  CLOMDEMMPGFKBCKMGHCEAGHOLFBACOCNFOKKDOJG
10)  18.6  |  CLOMDEMMPGLABMBMBMGEKPNOIKPILHMNFOKKDOJG
11)  19.2  |  MNOLFGJKDPCDBMBGBOGEKBANFEPJGOBJMBOCGMAL
12)  17.1  |  ANOLFGJKDPCHEHPPGOMEAGHOIKPILHMGLHNKMHGF
