##########  Generation 1  ##########

1)  -0.8  |  IBMLEOFEICBMMHMLKNMKLLONMPPFOOJPFBAACPKL
2)  0.6  |  FJDGKPILBALACHANAFHFHNCEPKJBFLCMPGIJLKIE
3)  5.0  |  PMJOMAKIEKFCEPKIFLIKIMLOIMMJGIDEAMLDBELO
4)  7.8  |  OBEJFNLPOFFCDMMMJIFKLJNPMLFJAJOCKFMCEHLI
5)  9.4  |  MCHDODGOPGEKEBGAFELOPJOJIBMJNFJHFJLINEHJ
6)  12.1  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
7)  6.9  |  DJEGEMMDJJOFCKGPGHCHDEEKLNCDDAMHMMMPECHL
8)  1.1  |  NEHNLLKIKCCBKABIFPGOBDFCLLAJLIKAEFIOOJPC
9)  10.0  |  KKACJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
10)  0.3  |  MJGMJJGFLENLHLAMNFMAGEMPPODAPJCEJHGGPEEK
11)  5.7  |  AIGDOEMDPOAAMLPOMNMEAPJCNHADLGFFNNKCFKAL
12)  4.2  |  KEKECCIDMCHCOOHOKOCKNKDNNLOHKEKAIEHCAFCB
13)  0.4  |  BLKNLHPNIPPCGKHABOOBEHJDKKILIELMEIPDOGEH
14)  0.5  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
15)  0.5  |  KJGLJKEAOKPNNEOGFHEPBHMIONGOMNPDFODJNEEC
16)  6.1  |  MIFOENGFMDCGJIEDCDKHFOAEPJLKCBANDMMKCDPP
17)  0.6  |  PIKAJEALOCIDOBGHPJJEAKEIAEEPKIHIKFIIEOKH
18)  17.0  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
19)  10.0  |  IDOMGOJIFHNJCMILLCMNKBANFEPJGOBJMBOCNKMM
20)  0.3  |  OFADMMCAPEMAMIAMHEFOPHMDHJMGPMPDGHPGJCEC
21)  0.5  |  LHGNKHLBEBBBEIINMPKECBLOHGNGDHHINMLHBLAN
22)  11.0  |  JDKDAFCEHBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
23)  0.4  |  FLENGPMKBEBGCMHODPKPMHAJOJMLGLFLJFCPNCHH
24)  3.6  |  MJAOLNOIPIFKBCKLKPBIEKAJAKMPICPJBFPJGMAL
25)  3.0  |  FPHGFFFPLMMHACAPGMAKKKOOEIHEAGLGHPDGLKEF
26)  1.2  |  FOGKGCLEAGKJGDDBPBOAPHDECKBEENHAEFAACPCG
27)  0.3  |  KEECILEKPLPBPAGJLMKALPCALIMHIKKPEMIOFPBO
28)  1.2  |  JDAGFMKAPAHJDCBFMCCJIGPCKKOCKDNNMBGOAGDP
29)  5.3  |  ANJEDFHDAFGADGAMNHGOOLJOIHAEIECONMCGFDMA
30)  0.3  |  KDCOOLEKJPJDNKAFDHFNPCGOAHJOELHADFGICILP
Generation 1 Average Fitness: 4.15

##########  Generation 2  ##########

1)  6.6  |  CLOMEOFEPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
2)  8.2  |  KEKECCIDMCHCOKGPGHCHDEEKNLOHKEKAIEHCAFCB
3)  14.8  |  ANOLFGJKDPCHEHPPBOGEAGHOIKPILHMGLHNKMHGF
4)  10.8  |  MJAOLNOIPIFKBCKLKPBNKBANFEPJGOBJMBOCGMAL
5)  6.7  |  FPHGFFFPLMNJCMILLMAKKKOOEIHEAGLGHPDGLKEF
6)  0.6  |  FJDGKPILBALACHANAFHFHNCEPKJBFLCMPGIJLKIE
7)  11.8  |  KKACJABFLJLABMBMGHGOBDFCLFBACOCNFOKKDOJG
8)  0.5  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
9)  0.3  |  OFADMMCAPEMAMIAMHEFOPHMDHJMGPMPDGHPGJCEC
10)  1.2  |  FOGKGCLEAGKJGDDBPBOAPHDECKBEENHAEFAACPCG
11)  5.0  |  PMJOMAKIEKFCEPKIFLIKIMLOIMMJGIDEAMLDBELO
12)  10.0  |  KKACJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
13)  8.9  |  KKACJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
14)  0.5  |  LHGNKHLBEBBBEIINMPKECBLOHGNGDHHINMLHBLAN
15)  0.3  |  KEECILEKPLPBPAGJLMKALPCALIMHIKKPEMIOFPBO
16)  7.8  |  OBEJFNLPOFFCDMMMJIFKLJNPMLFJAJOCKFMCEHLI
17)  0.3  |  MJGMJJGFLENLHLAMNFMAGEMPPODAPJCEJHGGPEEK
18)  8.5  |  JDKDAFCEHBELCAGBNMKHNJMBCBCOAGLJHJGAFLHD
19)  11.0  |  JDKDAFCEHBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
20)  2.3  |  JDADAFCEHBELCAGBNMKJIGPCKKOCKDNNMBGOAGDP
21)  9.5  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
22)  5.7  |  AIGDOEMDPOAAMLPOMNMEAPJCNHADLGFFNNKCFKAL
23)  0.6  |  PIKAJEALOCIDOBGHPJJEAKEIAEEPKIHIKFIIEOKH
24)  8.4  |  JDKDAFCEHBELCAGODPKPMHMBCBCOAGLJHJGAFLHD
25)  5.3  |  ANJEDFHDAFGADGAMNHGOOLJOIHAEIECONMCGFDMA
26)  12.1  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
27)  4.2  |  KEKECCIDMCHCOOHOKOCKNKDNNLOHKEKAIEHCAFCB
28)  17.0  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
29)  3.6  |  MJAOLNOIPIFKBCKLKPBIEKAJAKMPICPJBFPJGMAL
30)  11.4  |  KDCMDEMMPPJDNKAFDHFNPCGOAHJOELHADFGICILP
Generation 2 Average Fitness: 6.463334

##########  Generation 3  ##########

1)  9.1  |  KKACJABFLJLABMBMGMMKKPNLOPBACOCNFOKKDOJG
2)  14.1  |  KKACJABFLJLABMBMGHGOBDFCLFBACOCNFOKKDOJG
3)  9.4  |  KKACJABFLJLABMBMGHCOBDFCLFBACOCNFOKKDOJG
4)  14.0  |  JDKCJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
5)  5.3  |  ANJEDFHDAFGADGAMNHGOOLJOIHAEIECONMCGFDMA
6)  8.2  |  KEKECCIDMCHCOKGPGHCHDEEKNLOHKEKAIEHCAFCB
7)  0.5  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
8)  0.5  |  LHGNKHLBEBBBEIINMPKECBLOHGNGDHHINMLHBLAN
9)  11.8  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
10)  12.1  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
11)  14.8  |  ANOLFGJKDPCHEHPPBOGEAGHOIKPILHMGLHNKMHGF
12)  0.3  |  OFADMMCAPEMAMIAMHEFOPHMDHJMGPMPDGHPGJCEC
13)  0.3  |  KEECILEKPLPBPAGJLMKALPCALIMHIKKPEMIOFPBO
14)  9.5  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
15)  7.3  |  ANOLFGJKDPCHEHPPKOCKNKDNNLOHKEKAIEHCAFCB
16)  10.8  |  MJAOLNOIPIFKBCKLKPBNKBANFEPJGOBJMBOCGMAL
17)  15.4  |  MJAOGCLEAGKJGDDBPBONKBANFEPJGOBJMBOCGMAL
18)  7.8  |  OBEJFNLPOFFCDMMMJIFKLJNPMLFJAJOCKFMCEHLI
19)  5.7  |  AIGDOEMDPOAAMLPOMNMEAPJCNHADLGFFNNKCFKAL
20)  17.0  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
21)  6.7  |  FPHGFFFPLMNJCMILLMAKKKOOEIHEAGLGHPDGLKEF
22)  9.6  |  KKACJABFLJLAEPKIFLIKIMLLGFBACOCNFOKKDOJG
23)  5.1  |  JDKDAFCEHBELCLAMNFMAGEMBCBCOAGLJHJGAFLHD
24)  8.1  |  JDKDAFCEHBELCAGOPJJEAKEIAEEPKILJHJGAFLHD
25)  8.6  |  MJAOLNOIPIFKBCKLKPGEEKAJAKMPICPJBFPJGMAL
26)  1.2  |  FJDGKPILPPJDNKAFDFHFHNCEPKJBFLCMPGIJLKIE
27)  10.0  |  KKACJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
28)  8.5  |  JDKDAFCEHBELCAGBNMKHNJMBCBCOAGLJHJGAFLHD
29)  9.3  |  JDKDAFCEHBELCAGODPKPMHMBCBCOAGLJHJGAFLHD
30)  11.4  |  KDCMDEMMPPJDNKAFDHFNPCGOAHJOELHADFGICILP
Generation 3 Average Fitness: 8.413334

##########  Generation 4  ##########

1)  9.1  |  KKACJABFLJLABMBMGMMKKPNLOPBACOCNFOKKDOJG
2)  11.6  |  KKACJABFLJLABMBMGKNOKPNLOPBACOCNFOKKDOJG
3)  0.3  |  KEECILEKPLPBPAGJLMKALPCALIMHIKKPEMIOFPBO
4)  17.1  |  ANOLFGJKDPCHEHPPGOMEAGHOIKPILHMGLHNKMHGF
5)  8.6  |  MJAOLNOIPIFKBCKLKPGEEKAJAKMPICPJBFPJGMAL
6)  14.1  |  KKACJABFLJLABMBMGHGOBDFCLFBACOCNFOKKDOJG
7)  13.3  |  KKACJABFLJLABMBMGHGOBDFCLFBACOCNFOKKDOJG
8)  9.5  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
9)  17.1  |  ANOLFGJKDPCHEMCGBOGEAGHOIKPILHMGLHNKMHGF
10)  1.2  |  FJDGKPILPPJDNKAFDFHFHNCEPKJBFLCMPGIJLKIE
11)  11.4  |  KKACJABFLJLABMBMGHGOBDFCLFBACOCNFOKKDOJG
12)  11.8  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
13)  7.3  |  ANOLFGJKDPCHEHPPKOCKNKDNNLOHKEKAIEHCAFCB
14)  10.8  |  ANOLFGJKDMNJCMILLMAKAGHOIKPILHMGLHNKMHGF
15)  10.0  |  KKACJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
16)  14.0  |  JDKCJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
17)  17.9  |  ANOLFGJKDPCHEHCGBOGEAGHOIKPILHMGLHNKMHGF
18)  10.8  |  MJAOLNOIPIFKBCKLKPBNKBANFEPJGOBJMBOCGMAL
19)  13.1  |  MJAOLNOIPIFKBCKIFLIKIMLLGFBACOBJMBOCGMAL
20)  8.5  |  JDKDAFCEHBELCAGBNMKHNJMBCBCOAGLJHJGAFLHD
21)  6.3  |  ANOLFGJKDPCHEHAMNHGOOLJOIHAEIECOLHNKMHGF
22)  14.8  |  ANOLFGJKDPCHEHPPBOGEAGHOIKPILHMGLHNKMHGF
23)  15.4  |  MJAOGCLEAGKJGDDBPBONKBANFEPJGOBJMBOCGMAL
24)  13.8  |  JDKDAFCEHGKJGDDBPBONKBANFEPOAGLJHJGAFLHD
25)  9.3  |  JDKDAFCEHBELCAGODPKPMHMBCBCOAGLJHJGAFLHD
26)  8.2  |  KEKECCIDMCHCOKGPGHCHDEEKNLOHKEKAIEHCAFCB
27)  0.3  |  OFADMMCAPEMAMIAMHEFOPHMDHJMGPMPDGHPGJCEC
28)  13.6  |  MJAOGCLEAFFCDMMMJIFKLJNPMEPJGOBJMBOCGMAL
29)  10.4  |  JDKDAFCEHBEDNKGOPJJEAKEIAEEPKILJHJGAFLHD
30)  11.4  |  KDCMDEMMPPJDNKAFDHFNPCGOAHJOELHADFGICILP
Generation 4 Average Fitness: 10.699999

##########  Generation 5  ##########

1)  9.1  |  KKACJABFLJLABMBMGMMKKPNLOPBACOCNFOKKDOJG
2)  13.3  |  KKACJABFLJLABMBMGHGOBDFCLFBACOCNFOKKDOJG
3)  7.3  |  ANOLFGJKDPCHEHPPKOCKNKDNNLOHKEKAIEHCAFCB
4)  13.1  |  MJAOLNOIPIFKBCKIFLIKIMLLGFBACOBJMBOCGMAL
5)  9.3  |  JDKDAFCEHBELCAGODPKPMHMBCBCOAGLJHJGAFLHD
6)  12.9  |  KKACDEMMPJLABMBMGKNOKPNLOPBACOCNFOKKDOJG
