##########  Generation 1  ##########

1)  38.7  |  IBMLEOFEICBMMHMLKNMKLLONMPPFOOJPFBAACPKL
2)  54.7  |  FJDGKPILBALACHANAFHFHNCEPKJBFLCMPGIJLKIE
3)  41.0  |  PMJOMAKIEKFCEPKIFLIKIMLOIMMJGIDEAMLDBELO
4)  32.9  |  OBEJFNLPOFFCDMMMJIFKLJNPMLFJAJOCKFMCEHLI
5)  5.4  |  MCHDODGOPGEKEBGAFELOPJOJIBMJNFJHFJLINEHJ
6)  54.8  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
7)  39.7  |  DJEGEMMDJJOFCKGPGHCHDEEKLNCDDAMHMMMPECHL
8)  1.2  |  NEHNLLKIKCCBKABIFPGOBDFCLLAJLIKAEFIOOJPC
9)  50.3  |  KKACJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
10)  0.3  |  MJGMJJGFLENLHLAMNFMAGEMPPODAPJCEJHGGPEEK
11)  28.3  |  AIGDOEMDPOAAMLPOMNMEAPJCNHADLGFFNNKCFKAL
12)  12.9  |  KEKECCIDMCHCOOHOKOCKNKDNNLOHKEKAIEHCAFCB
13)  0.4  |  BLKNLHPNIPPCGKHABOOBEHJDKKILIELMEIPDOGEH
14)  0.6  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
15)  23.6  |  KJGLJKEAOKPNNEOGFHEPBHMIONGOMNPDFODJNEEC
16)  36.3  |  MIFOENGFMDCGJIEDCDKHFOAEPJLKCBANDMMKCDPP
17)  0.5  |  PIKAJEALOCIDOBGHPJJEAKEIAEEPKIHIKFIIEOKH
18)  71.9  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
19)  -0.5  |  IDOMGOJIFHNJCMILLCMNKBANFEPJGOBJMBOCNKMM
20)  0.3  |  OFADMMCAPEMAMIAMHEFOPHMDHJMGPMPDGHPGJCEC
21)  1.5  |  LHGNKHLBEBBBEIINMPKECBLOHGNGDHHINMLHBLAN
22)  57.8  |  JDKDAFCEHBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
23)  0.1  |  FLENGPMKBEBGCMHODPKPMHAJOJMLGLFLJFCPNCHH
24)  25.7  |  MJAOLNOIPIFKBCKLKPBIEKAJAKMPICPJBFPJGMAL
25)  30.9  |  FPHGFFFPLMMHACAPGMAKKKOOEIHEAGLGHPDGLKEF
26)  3.1  |  FOGKGCLEAGKJGDDBPBOAPHDECKBEENHAEFAACPCG
27)  0.5  |  KEECILEKPLPBPAGJLMKALPCALIMHIKKPEMIOFPBO
28)  3.1  |  JDAGFMKAPAHJDCBFMCCJIGPCKKOCKDNNMBGOAGDP
29)  30.5  |  ANJEDFHDAFGADGAMNHGOOLJOIHAEIECONMCGFDMA
30)  0.3  |  KDCOOLEKJPJDNKAFDHFNPCGOAHJOELHADFGICILP
Generation 1 Average Fitness: 21.559996

##########  Generation 2  ##########

1)  1.2  |  NEHNLLKIKCCBKABIFPGOBDFCLLAJLIKAEFIOOJPC
2)  0.6  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
3)  38.0  |  FOGKGCLEAGKJMIAMHEFOPHMDHJBEENHAEFAACPCG
4)  3.1  |  FOGKGCLEAGKJGDDBPBOAPHDECKBEENHAEFAACPCG
5)  68.9  |  FJDGKPILBALACHANAFHKIMLOIMMJGIDEAMLDBKIE
6)  50.3  |  KKACJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
7)  23.6  |  KJGLJKEAOKPNNEOGFHEPBHMIONGOMNPDFODJNEEC
8)  1.5  |  LHGNKHLBEBBBEIINMPKECBLOHGNGDHHINMLHBLAN
9)  0.6  |  KEECILEKPLPCPAGJLMKALPCALIMHIKKPEMIOFPBO
10)  41.0  |  PMJOMAKIEKFCEPKIFLIKIMLOIMMJGIDEAMLDBELO
