##########  Generation 1  ##########

5)  0.8  |  FPHGFFFPLMMHACAPGMAKKKOOEIHEAGLGHPDGLKEF
6)  11.2  |  FJDGKPILBKFCEPKIFLIKIMLOIKJBFLCMPGIJLKIE
7)  1.2  |  NEHNLLKIKCCBKABIFPGOBDFCLLAJLIKAEFIOOJPC
8)  0.2  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
9)  0.3  |  OFADMMCAPEMAMIAMHEFOPHMDHJMGPMPDGHPGJCEC
10)  6.7  |  FOGKGCLEAGKJGDDBPBOAPHDECKBEENHAEFAACPCG
11)  12.7  |  KKACJABFLJLABMKIFLIKIMLOGFBACOCNFOKKDOJG
12)  12.7  |  KKACJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
13)  13.0  |  KJGLJABFLJLABMBMGHCEDCMIONGOMNPDFODJNEEC
14)  14.5  |  JDGNKHLBEBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
15)  7.6  |  KMJOMLEKPLPBPAGJLMKALPCALIMHIKKPEMIOFPBO
16)  8.2  |  PMJOMAKIEKFCDMMMJIFKLMLOIMMJGIDEAMLDBELO
17)  10.2  |  KKACJABFLJLABMBMNFMEDCCLGFBACOCNFOKKDOJG
18)  6.6  |  MIFOENGFMDCGJIEDCDKHFOAEPJLKCBANDMMKCDPP
19)  12.9  |  JDKDAFCEHBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
20)  1.6  |  JDAGFMKAPAHJDCBFMCCJIGPCKKOCKDNNMBGOAGDP
21)  12.7  |  CLHDODGOPGEKEBGAFEMKKPNLOPPMJJCDEHPIAADL
22)  5.2  |  KEKECCIDMCHAMLPOMOCKNKDNNLOHKEKAIEHCAFCB
23)  14.8  |  ANOLFGALOCIDOBPPGOGEAGHOIKPILHMGLHNKMHGF
24)  13.9  |  JDKDAFCEHBELCMHONMKGNJMBCBCOAGLJHJGAFLHD
25)  7.0  |  ANJEDFHDAFGADGAMNHGOOLJOIHAEIECONMCGFDMA
26)  11.4  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
27)  13.3  |  ANOLFGJKDCHCOOHOKOGEAGHOIKPILHMGLHNKMHGF
28)  15.3  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
29)  12.9  |  MJAOLNOIPIFKBCKLGOGEAGHOIKPILHMGBFPJGMAL
30)  13.4  |  KDCOOLEKJPMDIMCGBMMKKPGOAHJOELHADFGICILP
Generation 2 Average Fitness: 9.369999

##########  Generation 3  ##########

1)  12.4  |  CLOMDEMMPGMDIMCGBMMKLLONMPPFOOCDEHPIAADL
2)  13.9  |  KJGLJABFLJLABMBMGHCEDCMIONGOMNPDFODJNEEC
3)  13.0  |  KJGLJABFLJLABMBMGHCEDCMIONGOMNPDFODJNEEC
4)  13.1  |  JDKDAFCEHBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
5)  12.1  |  ANJEDFHDAFGAIMCGBMMKKPGOAHJOELHONMCGFDMA
6)  7.7  |  DJEGEMMDJJOFCKGPGHCHDEEKLNCDDAMHMMMPECHL
7)  0.2  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
8)  14.5  |  JDGNKHLBEBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
9)  5.6  |  JDGGFMKAPAHJDCBFMCCJNJMBCBCOAGLJHJGAFLHD
10)  11.4  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
11)  16.7  |  ANOLFGJKDPCHEHHAKOGEAGHOIKPILHMGLHNKMHGF
12)  9.4  |  ANOLFGJKDPCHEHHABOOBEGHOIKPILHMGLHNKMHGF
13)  7.6  |  KMJOMLEKPLPBPAGJLMKALPCALIMHIKKPEMIOFPBO
14)  13.7  |  ANOLFGJKDCHCEBGAFOGEAGHOIKPILHMGLHNKMHGF
15)  13.4  |  ANOLFGJKDCHCOOHOKOGEAGHOIKPILHMGLHNKMHGF
16)  7.4  |  MJAOLNOIPIFKBCKLLCMNKKAJAKMPICPJBFPJGMAL
17)  13.6  |  KKACJABFLJLABMKIFLIKIMLOGFBACOCNFOKKDOJG
18)  13.0  |  KKACJABFLJLABMBMNFFKLCCLGFBACOCNFOKKDOJG
19)  5.2  |  KEKECCIDMCHAMLPOMOCKNKDNNLOHKEKAIEHCAFCB
20)  15.8  |  ANOLFGJKDPCHEHPPKOGEAGHOIKPILHMGLHNKMHGF
21)  16.0  |  MJAGLNOIPIFKBCKLGOGEAGHOIKPILHMGBFPJGMAL
22)  12.7  |  KKACJABFLJLABMKIFLIKIMLOGFBACOCNFOKKDOJG
