##########  Generation 1  ##########

5)  7.6  |  ANJEDFHDAFGADGAMNHGOOLJOIHAEIECONMCGFDMA
6)  8.2  |  DJEGEMMDJJOFCKGPGHCHDEEKLNCDDAMHMMMPECHL
7)  12.4  |  KKACJABFLJLABMBMGHCOBDFCLLAJLIKAFOKKDOJG
8)  10.5  |  KKACJAEALJLBEMBMGHCEDCCLGFBACOCNFOKKDOJG
9)  7.0  |  CLOMDEMMPGMDIAGBNMKKKPNLOPPMJJCDEHPIAADL
10)  15.0  |  CLOMDEMMPGMDCKGPGHCHDEEKLNPMJJCDEHPIAADL
11)  14.9  |  ANOLFGJKDPCHEKHAGOGEAGHOIKPILHMGLHNKMHGF
12)  16.3  |  ANOLFGJKDPCHEKHMHEFOPHMDIKPILHMGLHNKMHGF
13)  10.8  |  KEECILMMPGMDPAGJLMKALPCALIMHIKKPEMIOFPBO
14)  9.8  |  CLOMDEMMPGMDIMCGFEMKKPNLOPPMJJCDEHPIAADL
15)  3.5  |  KEKECCIDMCHCOOHOKOCKNKDNNLOHKEKAIEHCAFCB
16)  14.4  |  ANOLFGJKDPCHEHAPGOGEAGHOIKPILHMGLHNKMHGF
17)  8.4  |  FOGKGCLPEKFCEPKIFLIKPHDECKBEENHAEFAACPCG
18)  14.2  |  KJGMJJGFLELABPKIFLIKDCCLGFBACOCNFOKKDOJG
19)  19.9  |  ANOLOGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
20)  17.5  |  ANOLFFFPLMMHACAPGCMNKBAOIKPILHMGLHNKMHGF
21)  5.9  |  FPHGFFFPLMMHACAPGMAKKKOOEIHEAGLGHPDGLKEF
22)  14.3  |  KJGMJJGFLELABMBMFLIEDCCLGFBACOCNFOKKDOJG
23)  17.8  |  KJGMJJGFLELABMBMGHCEDCCLGFBACOCNFOKKDOJG
24)  15.1  |  KIGMJJGFLELABMBMGHCEDCCLGFBACOCNFOKKDOJG
25)  5.0  |  MJAOLNOIPIFKBCKLKPBIEKAJAKMPICPJBFPJGMAL
26)  6.7  |  NEDGKPILKCCBKABIFPGOBDFCLLAJLIKAEFIOOJPC
27)  10.9  |  KKACJABFLJLABMBMGHCOBDFCLLAJLIKAFOKKDOJG
28)  11.3  |  MIFOENGFMDCGJIGBNMKGNJMBCBCOAGLJHJGAFLHD
29)  11.5  |  JDKDAFCEHBEGCMHODPKPMHABCBCOAGLJHJGAFLHD
30)  10.3  |  KDCOOLEEHBEGCMHODPKPMHNLAHJOELHADFGICILP
Generation 3 Average Fitness: 11.693332

##########  Generation 4  ##########

1)  18.2  |  CLOMDEMMPGMDIMCGBMMKLLOCLLAJLJCDEHPIAADL
2)  14.8  |  KNOLFGJKDPCHEKHMHEFOPHMDIKPILHMGLHNKMHGF
3)  10.8  |  KEECILMMPGMDPAGJLMKALPCALIMHIKKPEMIOFPBO
4)  19.9  |  ANOLOGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
5)  6.3  |  MJAOLNOIDPCHEHPPGPBIEKAJAKMPICPJBFPJGMAL
6)  15.1  |  CLOMDEMMPJLABMCGBMMKLDFCLLAJLJCDEHPIAADL
7)  14.8  |  CLOMDAEALJLBEMBMGHCOBDFCLLAJLJCDEHPIAADL
8)  9.8  |  CLOMDEMMPGMDIMCGFEMKKPNLOPPMJJCDEHPIAADL
9)  17.5  |  ANOLFFFPLMMHACAPGCMNKBAOIKPILHMGLHNKMHGF
10)  7.1  |  NEDGKPILKCCBACAPGCMNKBAOIKPILIKAEFIOOJPC
11)  12.3  |  KKACJAEALJLAIMCGBMMODCCLGFBACOCNFOKKDOJG
12)  7.0  |  CLOMDEMMPGMDIAGBNMKKKPNLOPPMJJCDEHPIAADL
13)  11.5  |  KEKECCIDMCHCOHAPGOGEAGHOIKPILHMAIEHCAFCB
14)  13.7  |  ANOLFFFPLMMHACAPGMAKKKAOIKPILHMGLHNKMHGF
15)  10.9  |  KKACJABFLJLABMBMGHCOBDFCLLAJLIKAFOKKDOJG
16)  10.0  |  JDKDAFCEHBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
17)  19.1  |  CLOMDEMMPGMDCKHAGOGEAGHOIKPILHMGLHNKMHGF
18)  14.5  |  CLOLFGJKDPCHEKGPGHCHDEEKLNPMJJCDEHPIAADL
19)  18.1  |  KJGMJJGFLELABMBMGHCEDCCLGFBACOCNFOKKDOJG
20)  11.3  |  MIFOENGFMDCGJIGBNMKGNJMBCBCOAGLJHJGAFLHD
21)  7.6  |  ANJEDFHDAFGADGAMNHGOOLJOIHAEIECONMCGFDMA
22)  14.9  |  ANOLFGJKDPCHEKHAGOGEAGHOIKPILHMGLHNKMHGF
23)  15.8  |  KJGMJJGFLEFCEPKIFLIKDCCLGFBACOCNFOKKDOJG
24)  17.8  |  KJGMJJGFLELABMBMGHCEDCCLGFBACOCNFOKKDOJG
