##########  Generation 1  ##########

1)  7.4  |  IBMLEOFEICBMMHMLKNMKLLONMPPFOOJPFBAACPKL
2)  13.3  |  FJDGKPILBALACHANAFHFHNCEPKJBFLCMPGIJLKIE
3)  8.2  |  PMJOMAKIEKFCEPKIFLIKIMLOIMMJGIDEAMLDBELO
4)  7.2  |  OBEJFNLPOFFCDMMMJIFKLJNPMLFJAJOCKFMCEHLI
5)  0.9  |  MCHDODGOPGEKEBGAFELOPJOJIBMJNFJHFJLINEHJ
6)  11.2  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
7)  0.2  |  DJEGEMMDJJOFCKGPGHCHDEEKLNCDDAMHMMMPECHL
8)  6.3  |  NEHNLLKIKCCBKABIFPGOBDFCLLAJLIKAEFIOOJPC
9)  10.7  |  KKACJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
10)  12.6  |  MJGMJJGFLENLHLAMNFMAGEMPPODAPJCEJHGGPEEK
11)  0.0  |  AIGDOEMDPOAAMLPOMNMEAPJCNHADLGFFNNKCFKAL
12)  3.2  |  KEKECCIDMCHCOOHOKOCKNKDNNLOHKEKAIEHCAFCB
13)  0.1  |  BLKNLHPNIPPCGKHABOOBEHJDKKILIELMEIPDOGEH
14)  0.1  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
15)  0.5  |  KJGLJKEAOKPNNEOGFHEPBHMIONGOMNPDFODJNEEC
16)  0.5  |  MIFOENGFMDCGJIEDCDKHFOAEPJLKCBANDMMKCDPP
17)  0.5  |  PIKAJEALOCIDOBGHPJJEAKEIAEEPKIHIKFIIEOKH
18)  19.0  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
19)  9.7  |  IDOMGOJIFHNJCMILLCMNKBANFEPJGOBJMBOCNKMM
20)  6.3  |  OFADMMCAPEMAMIAMHEFOPHMDHJMGPMPDGHPGJCEC
