##########  Generation 1  ##########

5)  68.1  |  MJGMJJGOPGEKEMMMJIFKLEMPPODAPJCEJHGGPEEK
6)  54.0  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
7)  71.6  |  ANOLFGIDMCCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
8)  51.2  |  KKACJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
9)  71.3  |  MJGMJJGFLENLHLAMNFMAGEMPPODAPJCEJHGGPEEK
10)  74.5  |  MJGMJJGFLENLHLAMNFMAGEMPPODAPJCEJHGGPEEK
11)  0.4  |  AIGDOEMDPOAAMLPOMNMEAPJCNHADLGFFNNKCFKAL
12)  80.8  |  ANOLFGJDMCCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
13)  80.7  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
14)  51.8  |  AEDHJJKJKEMAMIAMHENOIKLPCGECDLEJGEIEGNEI
15)  43.5  |  KKACJABFLJLABMBMGHCPBCCLGFBACOCNFOKKDOJG
16)  72.4  |  MJGMJJGFLENLHLAMNFMAGEMPPODAPJCEJHGGPEEK
17)  9.3  |  PIKAJEALOCIDOBGHPJJEAKEIAEEPKIHIKFIIEOKH
18)  80.7  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
19)  48.3  |  IDOMGOJIFHNJCMILLCMNKBANFEPJGOBJMBOCNKMM
20)  43.3  |  OFADMMCAPEMAMIAMHENOIKLPCGECDLEJGHPGJCEC
21)  55.1  |  JDKDAFCEHBELCAGBNPKECBLOHGNOAGLJHJGAFLHD
22)  59.0  |  JDKDAFCEHBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
23)  60.5  |  JDKDAFCEHBELCAGODPKPMHABCBCOAGLJHJGAFLHD
24)  81.4  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
25)  51.0  |  FPHGFFFPLMMHACAPGMMKLLONMPPFOOJDEHPILKEF
26)  49.8  |  FOGKGCLEAGKJGDDBPBOAPHDECKBEENHAEFAACPCG
27)  48.4  |  FOGKGCLEAGKJGDDBPBOALPCALIMHIKKPEMIOFPBO
28)  52.2  |  JDKDAFCEHBELCAGBMCCJIGPCCBCOAGLJHJGAFLHD
29)  61.8  |  KDOMDEMMAFGADGAMNHGOOCGOAHJOELHADFGICILP
30)  62.4  |  KDOMDEMMPGMDIMCGBMMKKCGOAHJOELHADFGICILP
Generation 3 Average Fitness: 58.10334

##########  Generation 4  ##########

1)  66.6  |  CLOMDEMMPGMDIMCGKNMKLLONMPPFOOJDEHPIAADL
2)  63.2  |  CLOMDEMMPGMDIMCGKNMKLLONMPPFOOJDEHPIAADL
3)  70.5  |  MJGMJJGFLENLHLAMNFMAGEMPPODAPJCEJHGGPEEK
4)  68.4  |  MJGMJJGFLENLDMMMJIFKLEMPPODAPJCEJHGGPEEK
5)  68.1  |  MJGMJJGOPGEKEMMMJIFKLEMPPODAPJCEJHGGPEEK
6)  58.0  |  ANOLFGJDMCCHEHPPGOMKKPNOIKPILHMGLHNKMHGF
7)  83.2  |  ANOLFGJDMCCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
8)  54.9  |  KKACJABFMCCHEMBMGHCEDCCLGFBACOCNFOKKDOJG
9)  71.3  |  MJGMJJGFLENLHLAMNFMAGEMPPODAPJCEJHGGPEEK
10)  74.5  |  MJGMJJGFLENLHLAMNFMAGEMPPODAPJCEJHGGPEEK
11)  0.4  |  AIGDOEMDPOAAMLPOMNMEAPJCNHADLGFFNNKCFKAL
12)  82.5  |  ANOLFGJDMCCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
13)  80.7  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
14)  51.8  |  AEDHJJKJKEMAMIAMHENOIKLPCGECDLEJGEIEGNEI
15)  65.7  |  MJGMJJGFLENLBMBMGFMAGEMPPODAPJCEJHGGPEEK
16)  75.6  |  MJGMJJGFLENLHLAMNFMAGEMPPODAPJCEJHGGPEEK
17)  9.3  |  PIKAJEALOCIDOBGHPJJEAKEIAEEPKIHIKFIIEOKH
18)  85.1  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
19)  62.0  |  ANOLFGJKFHNJCMILLCMNKBANFEPILHMGLHNKMHGF
20)  56.0  |  ODKDAFCEPEMAMIAMHENOIKLPCGECDLEJGHPGJCEC
