##########  Generation 1  ##########

5)  27.6  |  ANJEDFHDAFGADGAMNHGOOLJOIHAEIECONMCGFDMA
6)  2.7  |  DJEGEMMDJJOFCKGPGHCHDEEKLNCDDAMHMMMPECHL
7)  47.4  |  DJEGEMMDJPIMONNIFKNOIKLPCGECDAMHMMMPECHL
8)  51.5  |  KKACJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
9)  4.2  |  JDAGFMKAPAHJDCBFMCCJIGPCKKOCKDNNMBGOAGDP
10)  50.7  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
11)  0.2  |  BLKNLHPNIPPCGKHABOOBEHJDKKILIELMEIPDOGEH
12)  34.3  |  FOGKGCLEAGKJMIAMHEFOPHMDHKBEENHAEFAACPCG
13)  47.1  |  CLOMODGOPLPBIMCGBMMKKPNLOPPMJJCDEHPIAADL
14)  45.3  |  CLOMODGOPGEDIMCGBMMKKPNLOPPMJJCDEHPIAADL
15)  10.5  |  KEKECCIDMCHCOOHOKOCKNKDNNLOHKEKAIEHCAFCB
16)  93.2  |  ANOLFGJKDPCHEHPPGOGNKBAOIKPILHMGLHNKMHGF
17)  9.4  |  FOGKGCLEAGKJGDDBPBOAPHDECKBEENHAEFAACPCG
18)  48.8  |  OBEJFNLPOFLABMBMGHCEDCCLGFBACJOCKFMCEHLI
19)  6.0  |  AIGDOEMDPOAAMLPOMNMEAPJCNHADLGFFNNKCFKAL
20)  90.1  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
21)  68.7  |  FPHGFFFPLMMHACAPLCMNKBANFEPJGOBJMBOGLKEF
22)  34.3  |  PMJOMAKIEKFCEPKIFLIKIMLOIMMJGIDEAMLDBELO
23)  59.7  |  KKACJJGFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
24)  72.7  |  ANOLFGJKDPCHEHPPGOJEAKEIAEEILHMGLHNKMHGF
25)  27.5  |  MJAOLNOIPIFKBCKLKPBIEKAJAKMPICPJBFPJGMAL
26)  61.4  |  FPDGFFFPLMMHACAPLCMNKBANFEPJGOBJMBOGLKEF
27)  55.9  |  KKACJABFLJLABPKIFLIKIMLOIMBACOCNFOKKDOJG
28)  66.9  |  JDFOENGFMBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
29)  67.5  |  JDKNGPMKBEBGCAGBNMKGNJMBCBCOAGLJHJGAFLHD
30)  0.3  |  KDCOOLEKJPJDNKAFDHFNPCGOAHJOELHADFGICILP
Generation 3 Average Fitness: 42.81334

##########  Generation 4  ##########

1)  37.9  |  IBMLEOFEICBMMHMLKNMKLLONMPPFOOJPFBAACPKL
2)  47.4  |  DJEGEMMDJPIMONNIFKNOIKLPCGECDAMHMMMPECHL
3)  47.1  |  CLOMODGOPLPBIMCGBMMKKPNLOPPMJJCDEHPIAADL
4)  71.9  |  ANOLFGJKPOAAMHPPGOGEAGHOIKPILHMGLHNKMHGF
5)  36.1  |  MJAOLNOIPIMHACAPLCMNKBANFKMPICPJBFPJGMAL
6)  48.4  |  KKACJABFLJLABPBIFPGOBDFCLLBACOCNFOKKDOJG
7)  51.5  |  KKACJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
8)  52.5  |  ANOLFDGOPGEDIMCGBMMKKGHOIKPILHMGLHNKMHGF
9)  90.1  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
10)  61.4  |  FPDGFFFPLMMHACAPLCMNKBANFEPJGOBJMBOGLKEF
11)  60.4  |  JDFOENGFMBEABMBMGMKGNJMBCBCOAGLJHJGAFLHD
12)  63.9  |  JDFOENGFMBEJBMBMGMKGNJMBCBCOAGLJHJGAFLHD
13)  10.5  |  KEKECCIDMCHCOOHOKOCKNKDNNLOHKEKAIEHCAFCB
14)  72.1  |  ANOLFGJKDPCHEHAPLCMNKBANFEPJGOMGLHNKMHGF
15)  55.9  |  KKACJABFLJLABPKIFLIKIMLOIMBACOCNFOKKDOJG
16)  53.8  |  JDKDAFCEHBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
17)  62.6  |  ANOLFGJKDPCHEHCGBMMKKPNLOPPMLHMGLHNKMHGF
18)  93.2  |  ANOLFGJKDPCHEHPPGOGNKBAOIKPILHMGLHNKMHGF
19)  34.3  |  PMJOMAKIEKFCEPKIFLIKIMLOIMMJGIDEAMLDBELO
20)  66.9  |  JDFOENGFMBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
21)  27.6  |  ANJEDFHDAFGADGAMNHGOOLJOIHAEIECONMCGFDMA
22)  0.2  |  BLKNLHPNIPPCGKHABOOBEHJDKKILIELMEIPDOGEH
23)  9.4  |  FOGKGCLEAGKJGDDBPBOAPHDECKBEENHAEFAACPCG
