##########  Generation 1  ##########

5)  9.9  |  JDKDAFCEHBEADGAMNHGOOLJOIHAEIECONMCGFDMA
6)  9.9  |  DJEGEMMDMCHCOKGPGHCHDEEKLNCDDAMHMMMPECHL
7)  9.9  |  KKACJABFLJLBKANIFKNOIKLPCGECCOCNFOKKDOJG
8)  15.0  |  JDKDAFCFLBELCAGBNPKECJMBCBCOAGLJHJGAFLHD
9)  1.6  |  JDAGFMKAPAHJDCBFMCCJIGPCKKOCKDNNMBGOAGDP
10)  12.8  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
11)  -0.2  |  BLKNLHPNIPPCGKHABOOBEHJDKKILIELMEIPDOGEH
12)  9.4  |  KEECILEKPLMAMPKIFLIKIMCALIMHIKKPEMIOFPBO
13)  14.1  |  JDKCILEKPLPBEPKIFLIKIMMBCBCOAGLJHJGAFLHD
14)  4.0  |  CLOMDEMMPGEKEBGABMMKKPNLOPPMJJCDEHPIAADL
15)  3.4  |  KEKECCIDMCHCOOHOKOCKNKDNNLOHKEKAIEHCAFCB
16)  11.2  |  ANOLFGJKDPCHCHPPGOGEAGHOIKPILHMGLHNKMHGF
17)  4.9  |  FOGKGCLEAGKJGDDBPBOAPHDECKBEENHAEFAACPCG
18)  13.1  |  KEECILEKPLPBEPKIFLIKLJCALIMHIKKPEMIOFPBO
19)  0.5  |  AIGDOEMDPOAAMLPOMNMEAPJCNHADLGFFNNKCFKAL
20)  16.9  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
21)  12.4  |  KKACMAKILJMHACAPGMAKDCCLGFBACOCNFOKKDOJG
22)  12.7  |  KKACMAKILJLABMBIFLIKIMLOIMMJGOCNFOKKDOJG
23)  13.8  |  JDKDAFCEHBELCIEMNFMAGEMPPODAPJLJHJGAFLHD
24)  0.5  |  PIKAJEALOCIDOBGHPJJEAKEIAEEPKIHIKFIIEOKH
25)  7.6  |  MJAOLNOIPIFKBCKLKOGEAGHOAKMPICPJBFPJGMAL
26)  8.6  |  CLOMKPILPGMDIMCGBMMKLLNLOPPMJJCDEHPIAADL
27)  11.5  |  KKACJABFLJLABMBIFLIKIMLOIMMJGIDEFOKKDOJG
28)  15.5  |  JDKDAFCEHBELCIEDCDKHFOAEPBCOAGLJHJGAFLHD
29)  5.4  |  JDKDAFCEHBEGCMHODPKPMHAJOJMLGGLJHJGAFLHD
30)  13.3  |  KDCOOLEKPIFKBCKLKMMNPCGOAHJOELHADFGICILP
Generation 3 Average Fitness: 10.123333

##########  Generation 4  ##########

1)  14.7  |  KJGLJABFLJLAKABGBMMKLLNLOPPMJJCDFOKKDOJG
2)  9.9  |  KKACJABFLJLBKANIFKNOIKLPCGECCOCNFOKKDOJG
3)  14.1  |  JDKCILEKPLPBEPKIFLIKIMMBCBCOAGLJHJGAFLHD
4)  11.9  |  ANOLFGJKPOAAMLPPGOGEAGHOIKPILHMGLHNKMHGF
5)  12.1  |  MJAOLNOIPIFKBCKLKOMNPCGOAHJOELHJBFPJGMAL
6)  16.9  |  KJGLJABFLJLAKABIFPGOBDFCLFBACOCNFOKKDOJG
7)  15.0  |  JDKDAFCFLBELCAGBNPKECJMBCBCOAGLJHJGAFLHD
8)  4.0  |  CLOMDEMMPGEKEBGABMMKKPNLOPPMJJCDEHPIAADL
9)  16.9  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
10)  8.6  |  CLOMKPILPGMDIMCGBMMKLLNLOPPMJJCDEHPIAADL
11)  19.4  |  KJGLJABFLJLABMBMGDKHFOAEGFBACOCNFOKKDOJG
12)  13.5  |  KJGLJABFLJLABMBMMCCJIGPCKKOCKOCNFOKKDOJG
13)  10.9  |  KKACMAKIMCHCOOHOGMAKDCCLGFBACOCNFOKKDOJG
14)  13.0  |  ANOLFGJKDPCHECAPGMAEAGHOIKPILHMGLHNKMHGF
15)  11.5  |  KKACJABFLJLABMBIFLIKIMLOIMMJGIDEFOKKDOJG
16)  18.1  |  KJGLJABFLJLABMBMGHKGNJMBCBCOAGLJHJKKDOJG
17)  15.1  |  KLOMDEMMPGMDIMCGBMMKNJMBCBCOAGLJHJKKDOJG
18)  15.7  |  ANOLFGMMPGMDIMCGBMMKKPNLIKPILHMGLHNKMHGF
19)  12.7  |  KKACMAKILJLABMBIFLIKIMLOIMMJGOCNFOKKDOJG
20)  15.5  |  JDKDAFCEHBELCIEDCDKHFOAEPBCOAGLJHJGAFLHD
21)  9.9  |  JDKDAFCEHBEADGAMNHGOOLJOIHAEIECONMCGFDMA
22)  -0.2  |  BLKNLHPNIPPCGKHABOOBEHJDKKILIELMEIPDOGEH
23)  4.9  |  FOGKGCLEAGKJGDDBPBOAPHDECKBEENHAEFAACPCG
24)  16.5  |  JDKDAFCEHBELCIEMNFMAGEMPPODAPJLJHJGAFLHD
25)  5.4  |  JDKDAFCEHBEGCMHODPKPMHAJOJMLGGLJHJGAFLHD
26)  9.9  |  DJEGEMMDMCHCOKGPGHCHDEEKLNCDDAMHMMMPECHL
27)  9.4  |  KEECILEKPLMAMPKIFLIKIMCALIMHIKKPEMIOFPBO
28)  15.9  |  JDKCILEKPLPBEPKIFLIKIMMBCBCOAGLJHJGAFLHD
29)  14.5  |  JIKAJEALOCIDOBEMNFMAGEMPPODAPJLJHJGAFLHD
30)  13.3  |  KDCOOLEKPIFKBCKLKMMNPCGOAHJOELHADFGICILP
Generation 4 Average Fitness: 12.299998

##########  Generation 5  ##########

1)  19.8  |  KJGLJABFLJLAKABGFPGOBDFCLFBACOCNFOKKDOJG
2)  21.4  |  JDKDAFCFLJLAKABGBMMKLLNLCBCOAGLJHJGAFLHD
3)  11.9  |  ANOLFGMMPGMDIMCGBMMKDCCLGFBACOCNFOKKMHGF
4)  12.7  |  KKACMAKILJLABMBIFLIKIMLOIMMJGOCNFOKKDOJG
5)  5.4  |  JDKDAFCEHBEGCMHODPKPMHAJOJMLGGLJHJGAFLHD
6)  18.6  |  KJGLJABFLJLAKABGBMNOIKLPCGECCOCNFOKKDOJG
7)  16.9  |  ANOLFGJKDGEHEHPPGOGEAGHOIKPILHMGLHNKMHGF
8)  13.0  |  ANOLFGJKDPCHECAPGMAEAGHOIKPILHMGLHNKMHGF
9)  16.6  |  JDKDAFCEHBELCIEDCMAEAGHOIKPIAGLJHJGAFLHD
10)  9.9  |  DJEGEMMDMCHCOKGPGHCHDEEKLNCDDAMHMMMPECHL
11)  14.1  |  JDKCILEKPLPBEPKIFLIKIMMBCBCOAGLJHJGAFLHD
12)  16.9  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
13)  11.5  |  KKACJABFLJLABMBIFLIKIMLOIMMJGIDEFOKKDOJG
14)  11.5  |  JDKDAFCEHBEADGAMNHKHFOAEPBCOAGLJHJGGFDMA
15)  9.4  |  KEECILEKPLMAMPKIFLIKIMCALIMHIKKPEMIOFPBO
16)  11.9  |  ANOLFGJKPOAAMLPPGOGEAGHOIKPILHMGLHNKMHGF
17)  8.6  |  CLOMKPILPGMDIMCGBMMKLLNLOPPMJJCDEHPIAADL
18)  18.1  |  KJGLJABFLJLABMBMGHKGNJMBCBCOAGLJHJKKDOJG
19)  -0.2  |  BLKNLHPNIPPCGKHABOOBEHJDKKILIELMEIPDOGEH
20)  15.9  |  JDKCILEKPLPBEPKIFLIKIMMBCBCOAGLJHJGAFLHD
21)  18.2  |  KJGLJABFLJLABMBMGDKHFOAEGFBACOCNFOKKDOJG
22)  19.4  |  KJGLJABFLJLABMBMGDKHFOAEGFBACOCNFOKKDOJG
