##########  Generation 1  ##########

7)  1.3  |  OPW++pwQ+oP++O+o++OpW+q+w+WPQo+wO+pW+Po++pqwO+Q++qP++pW+Q+++o+q+PQ++pw+q
8)  6.0  |  OPW++pwQ+oP++O+o++OpW+q+w+WPQo+wO+pW+Po++pqwO+Q++qP++pW+Q+++o+q+PQ++p+wPOq+op+PO++QpoW+Pw+pqW+P+wOp++o
9)  0.3  |  ++P++WOpQ++wP+Wo+++p+wOP+++Wo+wq+W+++pO++PQo+++++wqpO+++W+wo
10)  0.4  |  WO+o+w+PO+W++o++wQp+PqOW++ow++++++p+W+Q+PqwO+Q+Wo+q++pwOQ+P+pW++wqP+op
11)  3.2  |  W+++OP+wop+P+O+W+ow+QpW++wqO+oP+O++o++OWQ+q++ow++++pW++Q++O+qwoP+p
12)  0.6  |  +++++P+WQOp++P+p++Pq+wp+QP+Wpq+wP++Q+p+++WqoP+p+w+QP+qp++WP+QO+q+wop
13)  1.7  |  QPOW+po++Ow++W+++qP+opw+O+o+QW+++qw+QO++P++Wqo+Q++qpw++++Q+PWO+poq+w
14)  0.2  |  +PW+QOp+P+p+o+P+pq+wQP+++pOq+oWQ+++O+Pqw+WQ++oq+pQ+wq+WQ+qw+PW+QOw+pWq++ow++
15)  0.6  |  QP+O++p+++o++WO+qo+w+WOP+Qp+oqP++w+QOW+qw++opWQ+wO+PWo++++pq+wQPO+++qp+o
16)  4.5  |  WQ++OPw+poWq+Q+Pw+OWp+owqP+Q+pqWO+oQ+wqPO+poWQ+++qw+OQ+o++PWOq+w+++op+POQ+opWq+w+QW++qw+
17)  3.7  |  WQ++OPw+poWq+Q+Pw+OWp+owqP+Q+pqWO+oQ+wqPO+poWQ+++qw+OQ+o++PWp+++w+Wq+wQ+q+OQ+o+PO+q++pQo+WPq+w+O+op
18)  4.6  |  OP+W+oQ+++p+OPqw+Wo+OwQp+qoW+PQO++q++pQ+Po+qwpO+WQoPp+Q+Po+qpO+QPW+ow+q+p++OP++Q+p+qo
19)  0.9  |  QWP+pqO+Qwo+W+qPOw+o++WOQp+w++oW++qP+pQ+O+oPqw+WQO+++o++q+pQw++O+WPq++opw++P+p
20)  1.1  |  QO+++Woq+PQwO+qo++OQpW+q+wPQ+oW++wpO++PW+ow+O+poW++Pq++OQ++++qw+OQ+o++PWOq+w+++op+POQ+opWq+w+QW++qw+
21)  5.6  |  WQ++OPw+poWq+Q+Pw+OWp+owqP+Q+pqWO+oQ+wqPO+poWQ+++qw+OQ+o++PWOq+w+++op+POQO+q+Qo+p+PqO++pWQo+P+w+O++po+qP+Q+O++p+W++qwo
22)  0.9  |  P+Op+oQ++W+w++Pq+QOp+oW+qP+O+Q+pw+oP++qp+P+OQWp+qP+Qpwo+PW+q+++QO+wo+WpO+wq+W+wo
23)  -0.3  |  QPW+pwq++WO+Qwo+q+WQ+qw+Q+P+O+Wop++wOPq+pW+Q+P++w+op+q+O+PoW+QO+ow+++pWO+oP+wqO+op
24)  3.4  |  P+WQO+o+Ow+opW+wO++Po++WOqp+P+Q+pqow+P+Qp+P+WOq+ow++QOW+o+w+pWO+P+oqp+O+oQPw+OpWq+wQ+oW+qw
25)  0.8  |  OQPW+p+w+qo+P++++++p+WOPQ+o+q+++Q+Op+o+O+oq+OwP+Wo+O++Qo++Opq+P+pQ+qwo
26)  1.1  |  WQ+PO++po+OP+++oqpw+W+OQ+Po+Owq++Q+W+W+w+op
27)  1.6  |  WQ+PO++po+OP+++oqpw+W+OQ+Po+Owq++Q+W+owp+PW+Op+w+PqW+wp+++o++++PO+W++wop
