##########  Generation 1  ##########

1)  -1.1  |  IBMLEOFEICBMMHMLKNMKLLONMPPFOOJPFBAACPKL
2)  0.6  |  FJDGKPILBALACHANAFHFHNCEPKJBFLCMPGIJLKIE
3)  6.1  |  PMJOMAKIEKFCEPKIFLIKIMLOIMMJGIDEAMLDBELO
4)  -0.2  |  OBEJFNLPOFFCDMMMJIFKLJNPMLFJAJOCKFMCEHLI
5)  0.9  |  MCHDODGOPGEKEBGAFELOPJOJIBMJNFJHFJLINEHJ
6)  11.0  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
7)  8.2  |  DJEGEMMDJJOFCKGPGHCHDEEKLNCDDAMHMMMPECHL
8)  1.7  |  NEHNLLKIKCCBKABIFPGOBDFCLLAJLIKAEFIOOJPC
9)  12.7  |  KKACJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
10)  16.6  |  MJGMJJGFLENLHLAMNFMAGEMPPODAPJCEJHGGPEEK
11)  0.0  |  AIGDOEMDPOAAMLPOMNMEAPJCNHADLGFFNNKCFKAL
12)  4.0  |  KEKECCIDMCHCOOHOKOCKNKDNNLOHKEKAIEHCAFCB
13)  0.3  |  BLKNLHPNIPPCGKHABOOBEHJDKKILIELMEIPDOGEH
14)  0.1  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
15)  0.5  |  KJGLJKEAOKPNNEOGFHEPBHMIONGOMNPDFODJNEEC
16)  7.1  |  MIFOENGFMDCGJIEDCDKHFOAEPJLKCBANDMMKCDPP
17)  0.6  |  PIKAJEALOCIDOBGHPJJEAKEIAEEPKIHIKFIIEOKH
18)  16.9  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
19)  9.2  |  IDOMGOJIFHNJCMILLCMNKBANFEPJGOBJMBOCNKMM
20)  6.8  |  OFADMMCAPEMAMIAMHEFOPHMDHJMGPMPDGHPGJCEC
21)  2.8  |  LHGNKHLBEBBBEIINMPKECBLOHGNGDHHINMLHBLAN
22)  11.5  |  JDKDAFCEHBELCAGBNMKGNJMBCBCOAGLJHJGAFLHD
23)  0.1  |  FLENGPMKBEBGCMHODPKPMHAJOJMLGLFLJFCPNCHH
24)  4.9  |  MJAOLNOIPIFKBCKLKPBIEKAJAKMPICPJBFPJGMAL
25)  3.9  |  FPHGFFFPLMMHACAPGMAKKKOOEIHEAGLGHPDGLKEF
26)  10.2  |  FOGKGCLEAGKJGDDBPBOAPHDECKBEENHAEFAACPCG
27)  5.9  |  KEECILEKPLPBPAGJLMKALPCALIMHIKKPEMIOFPBO
28)  3.0  |  JDAGFMKAPAHJDCBFMCCJIGPCKKOCKDNNMBGOAGDP
29)  0.7  |  ANJEDFHDAFGADGAMNHGOOLJOIHAEIECONMCGFDMA
30)  9.2  |  KDCOOLEKJPJDNKAFDHFNPCGOAHJOELHADFGICILP
Generation 1 Average Fitness: 5.14

##########  Generation 2  ##########

1)  9.7  |  CLOMDEMMPGMDMHCGBMMKKPNLOPPMJJCDEHPIAADL
2)  7.9  |  FOGKGCLEAGKJGDDNAFHFHNDECKBEENHAEFAACPCG
3)  11.8  |  KKACJABFLJLABMBMGHCKICCLGFBACOCNFOKKDOJG
4)  12.5  |  MJGMJJGFLENLHLAMNIFKLEMPPODAPJCEJHGGPEEK
5)  0.9  |  MCHDODGOPGEKEBGAFELOPJOJIBMJNFJHFJLINEHJ
6)  11.0  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
7)  8.2  |  DJEGEMMDJJOFCKGPGHCHDEEKLNCDDAMHMMMPECHL
8)  12.1  |  KKACJABFLJLBKABIFPGODCCLGFBACOCNFOKKDOJG
9)  12.7  |  KKACJABFLJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
10)  16.6  |  MJGMJJGFLENLHLAMNFMAGEMPPODAPJCEJHGGPEEK
11)  7.4  |  MJGMJJGFLENAMLPOMNMEAPJCNHDAPJCEJHGGPEEK
12)  12.7  |  ANOLFGJKDPCHEOHOKOCKNKDOIKPILHMGLHNKMHGF
13)  18.9  |  ANOLFGJKDPCHGKHAGOGEAGHOIKPILHMGLHNKMHGF
14)  0.1  |  AEDHJJKJKPIMONNIFKNOIKLPCGECDLEJGEIEGNEI
15)  9.5  |  KKACJABFLJLANEOGFHEPBHMLGFBACOCNFOKKDOJG
16)  7.1  |  MIFOENGFMDCGJIEDCDKHFOAEPJLKCBANDMMKCDPP
17)  11.1  |  PIOLFGJKDPCHEHPPGOGEAKEIAEEPKIHIKFIIEOKH
18)  16.9  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
19)  9.2  |  IDOMGOJIFHNJCMILLCMNKBANFEPJGOBJMBOCNKMM
20)  7.7  |  FOGKGCLAPEMAMIAMHEFOPHDECKBEENHAEFAACPCG
21)  2.8  |  LHGNKHLBEBBBEIINMPKECBLOHGNGDHHINMLHBLAN
22)  14.4  |  JDKDAFCEMDCGJIEDCMKGNJMBCBCOAGLJHJGAFLHD
23)  12.4  |  JDKDAFCEHEBGCMHONMKGNJMBCBCOAGLJHJGAFLHD
24)  14.6  |  ANOLLGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
25)  3.9  |  FPHGFFFPLMMHACAPGMAKKKOOEIHEAGLGHPDGLKEF
26)  10.2  |  FOGKGCLEAGKJGDDBPBOAPHDECKBEENHAEFAACPCG
27)  15.8  |  FOGKGCLEAGKBPAGJLMKALPCALIMHIKKPEMIOFPBO
28)  3.0  |  JDAGFMKAPAHJDCBFMCCJIGPCKKOCKDNNMBGOAGDP
29)  4.3  |  ANCOOLEKJPJDNKAMNHGOOLJOIHAEIECONMCGFDMA
30)  9.2  |  KDCOOLEKJPJDNKAFDHFNPCGOAHJOELHADFGICILP
Generation 2 Average Fitness: 9.819999

##########  Generation 3  ##########

1)  12.0  |  CLOMDEMMPGMDMHCGBMMKKPNLOPPMJJCDEHPIAADL
