##########  Generation 1  ##########

6)  29.5  |  DJEGEMMDJJOFCKGPGHCHDEEKLNCDDAMHMMMPECHL
7)  51.9  |  IDOMGOJIFHNJCMILLCNOIKLPCGECDLEJMBOCNKMM
8)  0.4  |  LHGNKHLBEBBBEIINMPKECBLOHGNGDHHINMLHBLAN
9)  7.7  |  JDADAFCEHBELCAGBNMKGNJPCKKOCKDNNMBGOAGDP
10)  52.7  |  CLOMDEMMPGMDIMCGBMMKKPNLOPPMJJCDEHPIAADL
11)  0.4  |  BLKNLHPNIPPCGKHABOOBEHJDKKILIELMEIPDOGEH
12)  48.1  |  IDOMGOJIFHNJCMILLCMNKBANFEPJGOBJMBOCNKMM
13)  1.3  |  KEECILEKPLPBPAGJLMKALPCALIMHIKKPEMIOFPBO
14)  38.3  |  CLOMDEMMPGMDIMCGFELOPJOJIBMJNFJHEHPIAADL
15)  27.8  |  KNOLFGJKDPCHEHPOKOCKNKDNNLOHKEKAIEHCAFCB
16)  45.2  |  IDOMGOJIFHNJCMILLCMNKBANFEPJGOBJMBOCNKMM
17)  85.6  |  FJDGKPLEAGKACHAIFLIKIMLOIKJBFLCMPGIJLKIE
18)  62.2  |  KKACJABFLJLABMBMGHCKLJNPMLFJAJOCKFKKDOJG
19)  52.6  |  ANOLOEMDPOAAMLPPGOGEAGHOIKPILHMGLHNKMHGF
20)  83.3  |  ANOLFGJKDPCHEHPPGOGEAGHOIKPILHMGLHNKMHGF
21)  29.1  |  FPHGFFFPLMMHACAPGMAKKKOOEIHEAGLGHPDGLKEF
22)  85.9  |  FJDGKPILBALACHAIFLIKIMLOIKJBFLCMPGIJLKIE
23)  92.0  |  FJDGKPILBALACHAIGHCEDCCLGFJBFLCMPGIJLKIE
24)  54.3  |  ANOLFGJKDPCHOBGHPJJEAKAJAKMILHMGLHNKMHGF
25)  62.5  |  ANOLFGJKDPCHEHKLKPBIEKAJAKMILHMGLHNKMHGF
26)  60.3  |  KKACKPILBJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
27)  50.8  |  KKACJAKIEJLABMBMGHCEDCCLGFBACOCNFOKKDOJG
28)  56.8  |  KKACJABEMDCGJIEDCDCEDCCLGFBACOCNFOKKDOJG
29)  16.5  |  JDKDAFCEHBELCAGBNMKPMHAJOJMLGLFLJFCPNLHD
30)  59.5  |  KNOLFGJKDPCHEHAFDHFNPCGOAHJOELHADFGICILP
Generation 3 Average Fitness: 48.733337

